heuristic,switch_size,max_queue_length,simulation_length,packet_delay_average,packet_delay_variance,packet_delay_max,packet_delay_min,queue_length_average,queue_length_variance,queue_length_max,queue_length_min,permutation_matrix_amount_average,permutation_matrix_amount_variance,permutation_matrix_amount_max,permutation_matrix_amount_min,throughput_average,throughput_variance,throughput_max,throughput_min
GLJD,3,25,95,11.257345186078048,104.06455543501261,78.0,0.0,11.994152046783626,43.462188023665405,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7762573099415204,0.003240121746862281,0.8982456140350877,0.6771929824561403
GLJD,3,25,100,11.741364544675992,112.74441229730986,78.0,0.0,12.396222222222223,45.471896839506165,25.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7784444444444444,0.003202024691358024,0.9,0.68
GLJD,3,50,5,1.0169491525423728,1.1098822177535193,4.0,0.0,1.6133333333333333,0.7527111111111112,4.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.5244444444444444,0.015920987654320984,0.8,0.26666666666666666
GLJD,3,50,10,1.873134328358209,3.5174871909111167,9.0,0.0,2.5122222222222224,1.9631839506172837,7.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.5955555555555556,0.007906172839506169,0.8,0.43333333333333335
GLJD,3,50,15,2.636904761904762,6.262209467120181,12.0,0.0,3.334074074074074,3.6283945130315503,9.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6222222222222221,0.008526748971193415,0.8222222222222222,0.4444444444444444
GLJD,3,50,20,3.518828451882845,10.577678962203043,17.0,0.0,4.095555555555555,5.509758024691358,11.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6638888888888889,0.006557098765432096,0.8166666666666667,0.5
GLJD,3,50,25,4.134993446920053,13.711789875448536,20.0,0.0,4.784888888888889,7.4248383209876545,14.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6782222222222222,0.005104987654320986,0.8133333333333334,0.52
GLJD,3,50,30,4.653212958045672,16.2233393848135,22.0,0.0,5.440740740740741,9.645747599451303,18.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6974074074074075,0.004787517146776406,0.8222222222222222,0.5
GLJD,3,50,35,5.268630075858992,21.809140872080715,29.0,0.0,6.047936507936508,11.915479868984631,21.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7114285714285716,0.00423975812547241,0.8095238095238095,0.5142857142857142
GLJD,3,50,40,5.879125095932464,27.255918804765432,32.0,0.0,6.622777777777777,14.23770339506173,21.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7238888888888889,0.004262654320987654,0.8333333333333334,0.5583333333333333
GLJD,3,50,45,6.390672524501521,32.105570314861865,34.0,0.0,7.186172839506173,16.822129797286998,22.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7306172839506172,0.003941411370217955,0.8518518518518519,0.5851851851851851
GLJD,3,50,50,6.907696933253157,37.53417407050773,36.0,0.0,7.738666666666667,19.637482666666664,24.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7391111111111112,0.003759209876543211,0.8666666666666667,0.62
GLJD,3,50,55,7.476203353163872,45.84434989050255,52.0,0.0,8.266666666666667,22.517171717171717,26.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7470707070707071,0.0037733292521171294,0.8727272727272727,0.6303030303030303
GLJD,3,50,60,7.960866354910165,51.27855716230143,52.0,0.0,8.785185185185185,25.53644718792867,28.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7524074074074074,0.0036989368998628256,0.8722222222222222,0.6333333333333333
GLJD,3,50,65,8.38473731884058,57.13345364476673,52.0,0.0,9.29982905982906,28.761384586164077,30.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.754871794871795,0.003927942143326758,0.882051282051282,0.6358974358974359
GLJD,3,50,70,8.895120934111759,64.1347468369179,52.0,0.0,9.808571428571428,32.213513832199546,31.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7612698412698413,0.0037002771478961954,0.8714285714285714,0.6428571428571429
GLJD,3,50,75,9.351304347826087,70.30402486872507,52.0,0.0,10.299259259259259,35.679036488340195,34.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7666666666666669,0.003718518518518518,0.8711111111111111,0.6444444444444445
GLJD,3,50,80,9.901914739884393,79.71057436845325,54.0,0.0,10.786666666666667,39.25837777777778,34.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7688888888888888,0.0037057098765432093,0.8791666666666667,0.6583333333333333
GLJD,3,50,85,10.318943626206195,86.2134941947228,54.0,0.0,11.270718954248366,42.911940005980604,36.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.7721568627450981,0.0035764193259002932,0.8862745098039215,0.6666666666666666
